izquierda,centro,derecha,accion
59,1007,57,adelante
59,1007,57,adelante
59,1007,57,adelante
59,1007,57,adelante
59,1007,57,adelante
59,1007,57,adelante
55,1006,53,adelante
55,1007,52,adelante
56,1006,53,adelante
57,1007,53,adelante
57,1007,52,adelante
57,1007,53,adelante
58,1007,54,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1007,55,adelante
57,1006,54,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1006,55,adelante
56,1006,54,adelante
55,1006,54,adelante
55,1006,54,adelante
56,1006,53,adelante
55,1007,54,adelante
56,1006,53,adelante
56,1007,53,adelante
56,1006,54,adelante
56,1006,54,adelante
57,1007,54,adelante
57,1006,54,adelante
57,1006,55,adelante
57,1006,54,adelante
57,1006,54,adelante
57,1006,54,adelante
57,1006,55,adelante
57,1006,54,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1006,54,adelante
57,1006,55,adelante
57,1006,54,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1006,54,adelante
56,1006,55,adelante
55,1005,54,adelante
55,1006,54,adelante
56,1006,53,adelante
56,1006,54,adelante
55,1007,54,adelante
56,1007,53,adelante
57,1007,54,adelante
57,1006,54,adelante
57,1007,54,adelante
58,1006,54,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
55,1006,55,adelante
55,1006,55,adelante
54,1006,55,adelante
54,1006,52,adelante
55,1006,51,adelante
55,1006,53,adelante
55,1007,52,adelante
56,1006,52,adelante
57,1007,53,adelante
57,1006,54,adelante
57,1006,54,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
62,1007,59,adelante
58,1007,56,adelante
58,1006,56,adelante
55,1006,56,adelante
56,1006,56,adelante
55,1007,56,adelante
55,1007,52,adelante
55,1006,51,adelante
58,1006,55,adelante
61,1006,59,adelante
62,1007,58,adelante
61,1007,56,adelante
60,1006,57,adelante
62,1007,58,adelante
62,1007,60,adelante
61,1006,59,adelante
60,1007,57,adelante
61,1006,59,adelante
61,1006,59,adelante
61,1006,59,adelante
60,1006,58,adelante
59,1006,56,adelante
59,1006,56,adelante
58,1006,56,adelante
63,1006,61,adelante
59,1006,57,adelante
62,1006,60,adelante
61,1006,58,adelante
60,1006,60,adelante
59,1006,58,adelante
59,1006,57,adelante
58,1006,56,adelante
56,1006,55,adelante
60,1006,56,adelante
62,1006,60,adelante
63,1006,59,adelante
64,1006,58,adelante
63,1006,59,adelante
63,1006,60,adelante
63,1006,60,adelante
64,1006,61,adelante
62,1006,59,adelante
63,1006,61,adelante
63,1006,61,adelante
61,1006,59,adelante
60,1006,57,adelante
58,1006,55,adelante
62,1006,59,adelante
59,1006,57,adelante
61,1006,58,adelante
58,1006,56,adelante
58,1006,55,adelante
60,1007,57,adelante
57,1007,57,adelante
56,1007,57,adelante
56,1006,56,adelante
56,1007,54,adelante
56,1007,53,adelante
56,1006,52,adelante
56,1006,54,adelante
58,1006,55,adelante
58,1006,54,adelante
56,1006,53,adelante
57,1006,54,adelante
56,1007,53,adelante
55,1006,53,adelante
58,1007,55,adelante
59,1007,57,adelante
59,1007,56,adelante
59,1006,56,adelante
58,1006,56,adelante
58,1006,56,adelante
60,1006,58,adelante
60,1006,58,adelante
60,1007,57,adelante
60,1006,57,adelante
60,1007,58,adelante
60,1006,57,adelante
56,1006,57,adelante
56,1006,57,adelante
58,1006,58,adelante
58,1006,56,adelante
57,1006,54,adelante
57,1007,54,adelante
58,1007,54,adelante
58,1006,56,adelante
58,1007,54,adelante
58,1007,54,adelante
58,1006,55,adelante
59,1007,57,adelante
59,1007,56,adelante
58,1007,55,adelante
57,1006,55,adelante
57,1006,55,adelante
58,1006,55,adelante
58,1006,55,adelante
58,1006,55,adelante
58,1007,55,adelante
58,1006,56,adelante
60,1007,57,adelante
59,1006,56,adelante
57,1007,54,adelante
57,1007,54,adelante
55,1006,54,adelante
58,1007,59,adelante
58,1006,59,adelante
59,1006,56,adelante
57,1007,56,adelante
56,1006,54,adelante
59,1007,55,adelante
58,1007,55,adelante
57,1007,53,adelante
59,1007,55,adelante
58,1007,56,adelante
61,1006,58,adelante
60,1007,58,adelante
58,1007,56,adelante
58,1007,55,adelante
58,1007,55,adelante
59,1007,57,adelante
61,1007,59,adelante
59,1007,57,adelante
58,1007,55,adelante
59,1007,57,adelante
58,1007,55,adelante
58,1006,56,adelante
57,1007,55,adelante
57,1006,54,adelante
57,1007,54,adelante
53,1007,54,adelante
56,1007,58,adelante
57,1007,53,adelante
59,1007,56,adelante
57,1006,54,adelante
55,1006,52,adelante
55,1006,51,adelante
55,1007,52,adelante
55,1006,51,adelante
55,1006,52,adelante
54,1007,52,adelante
55,1006,53,adelante
56,1006,53,adelante
55,1006,53,adelante
55,1006,53,adelante
55,1007,52,adelante
54,1006,52,adelante
55,1006,53,adelante
56,1007,53,adelante
55,1006,52,adelante
54,1007,51,adelante
53,1006,51,adelante
52,1007,50,adelante
53,1007,50,adelante
52,1007,50,adelante
50,1006,50,adelante
50,1006,50,adelante
50,1007,48,adelante
50,1006,48,adelante
50,1006,48,adelante
50,1007,48,adelante
51,1006,48,adelante
52,1006,49,adelante
52,1005,48,adelante
53,1005,49,adelante
52,1005,50,adelante
53,1005,51,adelante
53,1006,50,adelante
52,1006,50,adelante
52,1006,49,adelante
52,1005,50,adelante
52,1005,49,adelante
51,1006,49,adelante
51,1005,49,adelante
53,1006,50,adelante
52,1006,50,adelante
52,1006,50,adelante
52,1007,49,adelante
51,1007,49,adelante
54,1007,52,adelante
53,1006,52,adelante
53,1005,52,adelante
53,1006,52,adelante
54,1006,51,adelante
54,1005,51,adelante
54,1006,50,adelante
53,1007,50,adelante
53,1007,50,adelante
52,1007,49,adelante
52,1007,49,adelante
53,1007,50,adelante
53,1007,51,adelante
52,1007,50,adelante
53,1007,51,adelante
53,1007,50,adelante
53,1007,50,adelante
53,1007,51,adelante
56,1007,54,adelante
57,1007,54,adelante
56,1007,54,adelante
55,1007,52,adelante
55,1007,53,adelante
55,1008,52,adelante
55,1007,52,adelante
55,1007,52,adelante
53,1007,51,adelante
54,1007,53,adelante
53,1007,52,adelante
53,50,50,parar
54,51,52,parar
54,51,51,parar
54,51,1005,izq_fuerte
54,51,1005,izq_fuerte
52,50,1005,izq_fuerte
52,48,1005,izq_fuerte
49,47,1005,izq_fuerte
47,45,45,parar
48,45,45,parar
47,45,45,parar
48,45,45,parar
48,1007,45,adelante
47,1007,45,adelante
47,1007,45,adelante
47,1007,45,adelante
47,1007,44,adelante
47,1007,45,adelante
47,1007,45,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,46,adelante
49,1007,46,adelante
49,1007,46,adelante
49,1007,47,adelante
949,46,46,der_fuerte
948,46,47,der_fuerte
947,46,47,der_fuerte
48,45,45,parar
48,45,45,parar
47,1005,45,adelante
48,1006,45,adelante
47,1005,45,adelante
46,1006,46,adelante
47,1005,45,adelante
47,1006,45,adelante
46,1005,44,adelante
46,1006,44,adelante
47,1006,44,adelante
47,1005,44,adelante
47,1006,44,adelante
48,1006,45,adelante
47,1006,45,adelante
48,1006,45,adelante
48,1006,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
47,1006,45,adelante
46,1006,45,adelante
47,1007,45,adelante
47,1007,44,adelante
46,1007,44,adelante
47,1006,44,adelante
47,1007,44,adelante
47,1006,44,adelante
48,1006,44,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
47,1006,45,adelante
47,1006,45,adelante
48,1007,45,adelante
47,1006,45,adelante
48,1006,45,adelante
47,1006,45,adelante
47,1006,45,adelante
47,1006,45,adelante
46,1006,45,adelante
46,1006,44,adelante
47,44,44,parar
48,45,45,parar
48,45,45,parar
48,45,45,parar
48,45,45,parar
48,45,46,parar
48,45,45,parar
48,45,45,parar
48,45,46,parar
48,1007,45,adelante
48,1007,45,adelante
47,1007,45,adelante
46,1006,45,adelante
46,1007,45,adelante
46,1006,44,adelante
47,1007,44,adelante
46,1007,44,adelante
47,1007,44,adelante
47,1007,44,adelante
48,1007,44,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1006,45,adelante
48,1006,45,adelante
47,1007,45,adelante
47,1006,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1006,45,adelante
46,1006,45,adelante
46,1007,45,adelante
47,1006,45,adelante
46,1006,44,adelante
46,1006,44,adelante
47,1006,44,adelante
47,1006,44,adelante
47,1006,45,adelante
47,1007,44,adelante
48,1006,44,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1006,45,adelante
47,1006,45,adelante
48,1007,46,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,45,45,parar
48,45,46,parar
48,45,45,parar
48,45,45,parar
48,1007,46,adelante
47,1006,44,adelante
47,1007,45,adelante
47,1007,44,adelante
48,1007,44,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1006,45,adelante
48,1007,46,adelante
48,1006,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1006,45,adelante
48,1006,45,adelante
47,1007,45,adelante
47,1007,45,adelante
46,1006,45,adelante
46,1006,44,adelante
46,1007,44,adelante
46,1007,44,adelante
47,1008,44,adelante
47,1007,44,adelante
48,1007,44,adelante
48,1007,44,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1006,45,adelante
48,1007,46,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,45,adelante
47,1007,45,adelante
46,1007,45,adelante
47,1006,44,adelante
46,1006,44,adelante
46,1007,44,adelante
47,1007,44,adelante
47,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,45,45,parar
48,45,46,parar
48,45,45,parar
48,45,46,parar
48,1007,45,adelante
48,1007,46,adelante
48,1007,45,adelante
47,1007,45,adelante
47,1006,45,adelante
47,1007,46,adelante
47,1007,45,adelante
46,1007,45,adelante
47,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
47,1007,45,adelante
47,1006,45,adelante
47,1007,45,adelante
48,1007,44,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
47,1007,46,adelante
47,1006,45,adelante
47,1007,46,adelante
47,1007,44,adelante
47,1006,44,adelante
47,1007,45,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
49,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
47,1007,46,adelante
47,1007,46,adelante
46,1007,46,adelante
46,1007,44,adelante
47,1007,44,adelante
47,1006,45,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1006,46,adelante
47,1007,46,adelante
47,1006,46,adelante
48,1007,46,adelante
47,1007,45,adelante
47,1006,44,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,46,adelante
47,1007,46,adelante
47,1006,46,adelante
48,1007,46,adelante
48,1007,46,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1006,46,adelante
954,1007,45,der
954,45,46,der_fuerte
954,46,45,der_fuerte
954,45,46,der_fuerte
954,45,46,der_fuerte
954,45,45,der_fuerte
954,45,45,der_fuerte
954,46,45,der_fuerte
954,1007,45,der
47,1007,46,adelante
47,1007,46,adelante
47,1006,46,adelante
48,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1006,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
47,1007,46,adelante
47,1007,46,adelante
47,1007,46,adelante
47,1007,45,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
49,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
48,1007,46,adelante
49,1007,46,adelante
48,1006,46,adelante
48,1007,46,adelante
47,1008,46,adelante
47,1006,46,adelante
47,1007,46,adelante
47,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,45,adelante
48,1007,46,adelante
47,1007,46,adelante
77,1007,46,adelante
61,1007,46,adelante
52,1007,46,adelante
50,1007,46,adelante
49,1006,46,adelante
48,1007,46,adelante
47,1007,46,adelante
47,1007,46,adelante
47,1007,46,adelante
47,1007,46,adelante
46,1007,46,adelante
47,1007,46,adelante
47,1007,46,adelante
47,1007,46,adelante
45,1007,46,adelante
45,1007,46,adelante
45,1007,46,adelante
46,1007,45,adelante
46,1007,45,adelante
45,1007,45,adelante
46,1007,45,adelante
46,1007,45,adelante
46,1007,45,adelante
46,1007,46,adelante
46,1007,46,adelante
46,1007,45,adelante
46,1007,45,adelante
46,1007,46,adelante
46,1007,46,adelante
46,1007,46,adelante
46,1007,46,adelante
47,1007,46,adelante
67,1007,46,adelante
72,1007,46,adelante
81,1008,46,adelante
73,1007,45,adelante
75,1007,45,adelante
91,1007,45,adelante
83,1007,45,adelante
82,45,1003,izq_fuerte
80,45,45,parar
83,46,45,parar
81,45,1004,izq_fuerte
82,45,1003,izq_fuerte
80,45,45,parar
83,46,45,parar
81,45,1004,izq_fuerte
83,45,1004,izq_fuerte
83,45,1004,izq_fuerte
83,45,1004,izq_fuerte
83,45,45,parar
83,46,45,parar
83,45,45,parar
83,45,1004,izq_fuerte
83,45,1004,izq_fuerte
82,45,1004,izq_fuerte
81,45,46,parar
81,45,1004,izq_fuerte
82,45,1004,izq_fuerte
81,45,1004,izq_fuerte
80,45,1004,izq_fuerte
80,45,1004,izq_fuerte
80,45,1004,izq_fuerte
80,1007,1005,izq
81,1008,1005,izq
81,1008,1004,izq
81,1008,1004,izq
81,1008,1005,izq
81,1008,1004,izq
80,1008,1004,izq
80,1008,1005,izq
80,1008,1004,izq
80,1008,1005,izq
80,1008,1004,izq
80,1008,1005,izq
80,1007,1004,izq
80,1008,1004,izq
80,1008,1004,izq
80,1008,1005,izq
80,1008,1004,izq
955,1008,1005,adelante
955,1008,1005,adelante
956,1008,1005,adelante
956,1008,1005,adelante
956,1008,1005,adelante
955,1008,1004,adelante
956,1008,1005,adelante
955,1008,46,der
956,1008,45,der
955,1008,45,der
955,1008,45,der
955,1008,45,der
79,1007,45,adelante
80,1007,45,adelante
78,1008,1005,izq
956,1008,1005,adelante
956,1008,1005,adelante
956,1008,1004,adelante
956,1008,1005,adelante
954,1008,1005,adelante
954,1009,1005,adelante
93,1008,1005,izq
88,1008,1005,izq
78,1007,1004,izq
112,1007,1004,izq
76,1007,1004,izq
64,1007,1004,izq
63,1007,1005,izq
58,1007,1004,izq
61,1007,1004,izq
68,1007,1004,izq
82,1004,510,izq
94,1007,45,adelante
84,1007,44,adelante
77,1007,45,adelante
87,1007,45,adelante
95,1007,45,adelante
83,1007,45,adelante
81,1007,45,adelante
950,1007,45,der
950,1007,44,der
950,1007,44,der
950,1007,44,der
950,1008,44,der
950,1007,44,der
950,1007,44,der
950,1007,44,der
950,1007,44,der
950,1008,45,der
950,1007,45,der
950,1007,47,der
950,1008,47,der
951,1008,48,der
951,1008,47,der
951,1007,46,der
952,1008,62,der
952,1008,63,der
952,1008,63,der
952,1008,63,der
953,1007,64,der
952,1008,63,der
952,1007,63,der
952,1007,62,der
954,1008,63,der
953,1008,62,der
954,1008,61,der
954,1008,62,der
954,1008,61,der
954,1008,62,der
955,1008,62,der
956,1007,61,der
955,1008,61,der
955,1008,61,der
955,1008,61,der
97,1007,61,adelante
96,1007,61,adelante
95,1007,60,adelante
94,1007,60,adelante
94,1007,61,adelante
94,1007,61,adelante
93,1007,61,adelante
94,1007,61,adelante
91,1007,61,adelante
91,1007,60,adelante
90,1008,60,adelante
90,1008,57,adelante
89,1007,58,adelante
90,1007,59,adelante
94,1007,60,adelante
101,1007,61,adelante
97,1007,60,adelante
98,1007,61,adelante
97,1007,61,adelante
97,1007,61,adelante
95,1007,60,adelante
95,1007,59,adelante
94,1007,59,adelante
94,1007,59,adelante
94,1008,59,adelante
93,1007,59,adelante
93,1007,58,adelante
90,1007,58,adelante
93,1007,58,adelante
95,1007,58,adelante
95,58,58,parar
94,58,58,parar
93,1007,57,adelante
91,1007,57,adelante
91,1007,56,adelante
91,1008,55,adelante
91,1007,55,adelante
91,1007,56,adelante
92,1008,56,adelante
98,1007,61,adelante
85,1007,49,adelante
86,1008,51,adelante
90,1007,55,adelante
91,1007,56,adelante
90,1007,55,adelante
81,1007,55,adelante
85,1007,55,adelante
90,1007,55,adelante
91,1007,56,adelante
91,1008,56,adelante
91,1008,56,adelante
90,1007,55,adelante
92,1007,58,adelante
93,1008,58,adelante
95,1007,61,adelante
94,1007,59,adelante
89,1008,57,adelante
88,1007,57,adelante
85,1007,51,adelante
88,1007,53,adelante
87,1007,53,adelante
89,1007,55,adelante
90,1007,55,adelante
91,1007,56,adelante
94,1007,58,adelante
94,1007,58,adelante
93,1007,58,adelante
92,1007,57,adelante
93,1008,58,adelante
98,1008,63,adelante
95,1007,60,adelante
96,1008,61,adelante
94,1007,60,adelante
94,1007,60,adelante
95,1007,59,adelante
94,1008,59,adelante
92,1007,59,adelante
91,1007,59,adelante
90,1007,59,adelante
90,1007,59,adelante
91,1007,59,adelante
91,59,59,parar
939,59,59,der_fuerte
938,59,59,der_fuerte
88,58,59,parar
91,1007,58,adelante
91,1007,57,adelante
90,1007,58,adelante
89,1007,58,adelante
89,1008,58,adelante
89,1007,58,adelante
92,1008,59,adelante
92,1007,58,adelante
99,1008,67,adelante
100,1008,67,adelante
97,1008,65,adelante
90,1007,56,adelante
82,1007,51,adelante
80,1008,50,adelante
81,1008,51,adelante
81,1007,51,adelante
82,1007,50,adelante
79,1008,50,adelante
78,1008,49,adelante
77,1008,49,adelante
78,1008,50,adelante
78,1007,51,adelante
77,1008,49,adelante
77,1008,47,adelante
77,1008,48,adelante
77,1008,48,adelante
79,1008,49,adelante
81,1008,51,adelante
85,1008,56,adelante
84,1008,55,adelante
85,1008,56,adelante
84,1007,55,adelante
84,1008,55,adelante
84,1008,55,adelante
84,1008,54,adelante
83,1008,54,adelante
83,1008,54,adelante
83,1007,54,adelante
83,1008,54,adelante
83,1008,54,adelante
83,1007,54,adelante
83,1008,54,adelante
101,51,52,parar
101,51,51,parar
101,51,1002,izq_fuerte
101,51,52,parar
102,51,51,parar
102,51,51,parar
102,51,51,parar
102,51,51,parar
102,51,51,parar
102,51,1001,izq_fuerte
101,51,1001,izq_fuerte
101,51,1001,izq_fuerte
101,51,51,parar
101,51,51,parar
102,51,51,parar
102,51,1001,izq_fuerte
102,51,1001,izq_fuerte
102,51,51,parar
102,51,51,parar
102,51,51,parar
102,51,51,parar
102,51,51,parar
102,51,51,parar
102,52,51,parar
102,51,51,parar
104,51,51,parar
104,51,51,parar
104,51,51,parar
103,51,51,parar
104,51,51,parar
103,51,51,parar
108,51,51,parar
112,51,51,parar
112,51,52,parar
112,51,51,parar
110,51,1001,izq_fuerte
109,51,1002,izq_fuerte
107,51,1001,izq_fuerte
106,51,51,parar
105,1008,51,adelante
105,1007,51,adelante
104,1008,51,adelante
104,1008,51,adelante
104,1008,51,adelante
104,1007,51,adelante
103,1007,51,adelante
104,50,51,parar
104,51,1001,izq_fuerte
104,51,1001,izq_fuerte
103,50,1001,izq_fuerte
103,51,1002,izq_fuerte
103,50,1002,izq_fuerte
103,51,51,parar
104,51,51,parar
104,51,51,parar
103,51,51,parar
103,51,1001,izq_fuerte
103,51,1002,izq_fuerte
102,51,52,parar
102,51,51,parar
102,51,51,parar
102,51,52,parar
102,52,51,parar
102,51,51,parar
102,51,52,parar
102,51,52,parar
102,52,51,parar
102,51,52,parar
103,52,52,parar
103,52,51,parar
103,51,52,parar
103,52,52,parar
104,51,1001,izq_fuerte
103,51,1002,izq_fuerte
103,52,52,parar
102,1008,52,adelante
102,1008,51,adelante
102,1007,52,adelante
103,1007,52,adelante
103,1007,51,adelante
103,1007,51,adelante
102,1008,51,adelante
102,1008,51,adelante
102,1008,52,adelante
102,1008,51,adelante
102,1008,51,adelante
102,52,51,parar
103,51,1001,izq_fuerte
104,51,1002,izq_fuerte
104,51,1002,izq_fuerte
103,51,1002,izq_fuerte
103,51,51,parar
103,51,52,parar
103,51,51,parar
102,51,51,parar
103,51,1001,izq_fuerte
101,50,1002,izq_fuerte
101,50,1001,izq_fuerte
102,50,1002,izq_fuerte
103,51,51,parar
102,51,1002,izq_fuerte
102,51,1001,izq_fuerte
102,51,1002,izq_fuerte
102,52,52,parar
100,51,52,parar
100,52,52,parar
100,51,52,parar
99,51,1001,izq_fuerte
99,51,1001,izq_fuerte
99,52,1002,izq_fuerte
98,51,1002,izq_fuerte
99,51,1002,izq_fuerte
99,51,1001,izq_fuerte
99,51,1002,izq_fuerte
98,51,1002,izq_fuerte
98,51,1001,izq_fuerte
99,51,51,parar
99,51,52,parar
99,51,52,parar
99,51,1001,izq_fuerte
98,50,1001,izq_fuerte
99,50,1001,izq_fuerte
99,51,1002,izq_fuerte
99,51,51,parar
99,1007,51,adelante
